movie_display_name,movie_production_year,movie_genre_display_name,movie_financial_summary_production_budget,movie_financial_summary_international_box_office,movie_annual_summary_tickets_sold,movie_video_summary_domestic_dvd_units,movie_acting_role_display_name,movie_theatrical_release_release_date,movie_creative_type_display_name,movie_production_method_display_name,movie_source_display_name,movie_running_time,movie_technical_role_display_name,movie_production_company_display_name,movie_sequel
Fighting,2009,Action,0,9740697,3078801,950075,Terrence Howard,2009-04-24,Contemporary Fiction,Live Action,Original Screenplay,84,Dito Montiel,Rogue Pictures,0
Shorts,2009,Adventure,20000000,8951635,2789222,132711,Leslie Mann,2009-08-21,Kids Fiction,Live Action,Original Screenplay,,Robert Rodriguez,,0
Gamer,2009,Action,50000000,21467122,2737988,775369,Efren Ramirez,2009-09-04,Science Fiction,Live Action,Original Screenplay,,Brian Taylor,Lakeshore Entertainment,0
Jonas Brothers: The 3D Concert Experience,2009,Concert/Performance,0,11266091,2555032,440324,Kevin Jonas,2009-02-27,Factual,Live Action,Based on Real Life Events,,,,0
Under the Sea 3D,2009,Documentary,0,11500000,2588803,,Jim Carrey,2009-02-13,Factual,Live Action,Based on Real Life Events,,Howard Hall,,0
Inkheart,2009,Adventure,60000000,40748030,2307123,658040,Brendan Fraser,2009-01-23,Fantasy,Live Action,Based on Fiction Book/Short Story,106,Iain Softley,New Line Cinema,0
Fired Up,2009,Comedy,20000000,1377279,2297505,629805,Nicolas D'Agosto,2009-02-20,Contemporary Fiction,Live Action,Original Screenplay,,,,0
New in Town,2009,Romantic Comedy,8000000,13203626,2231238,1124659,"Harry Connick, Jr.",2009-01-30,Contemporary Fiction,Live Action,Original Screenplay,,Jonas Elmer,Gold Circle Films,0
A Perfect Getaway,2009,Thriller/Suspense,14000000,7300000,2068728,484650,Timothy Olyphant,2009-08-07,Contemporary Fiction,Live Action,Original Screenplay,97,David Twohy,Rogue Pictures,0
"The Goods: Live Hard, Sell Hard",2009,Comedy,10000000,174642,2016357,,Jeremy Piven,2009-08-14,Contemporary Fiction,Live Action,Original Screenplay,,Neal Brennan,,0
"I Love You, Beth Cooper",2009,Comedy,18000000,1581813,1973430,648196,Hayden Panettiere,2009-07-10,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,,Chris Columbus,1492 Pictures,0
Gake no ue no Ponyo,2009,Adventure,34000000,190222267,2012053,1511864,Betty White,2009-08-14,Kids Fiction,Hand Animation,Original Screenplay,101,Toshio Suzuki,Studio Ghibli,0
The Informant!,2009,Thriller/Suspense,22000000,8454347,4442243,442623,Matt Damon,2009-09-18,Contemporary Fiction,Live Action,Based on Factual Book/Article,,Carmen Cuba,Participant Media,0
Crank 2: High Voltage,2009,Thriller/Suspense,20000000,21788490,1824567,1066991,Dwight Yoakam,2009-04-17,Contemporary Fiction,Live Action,Original Screenplay,,William Paul Clark,Lakeshore Entertainment,1
The Hurt Locker,2009,Drama,15000000,32876412,257147,2360906,David Morse,2009-06-26,Contemporary Fiction,Live Action,Original Screenplay,130,Kathryn Bigelow,Voltage Pictures,0
Sunshine Cleaning,2009,Comedy,5000000,5266779,1608341,344098,Amy Adams,2009-03-13,Contemporary Fiction,Live Action,Original Screenplay,,,,0
Not Easily Broken,2009,Drama,5000000,160167,1409699,942326,Morris Chestnut,2009-01-09,Contemporary Fiction,Live Action,Based on Fiction Book/Short Story,,Bill Duke,,0
Love Happens,2009,Drama,18000000,13167904,3062015,458951,Aaron Eckhart,2009-09-18,Contemporary Fiction,Live Action,Original Screenplay,,,,0
Extract,2009,Comedy,7500000,26000,1443088,,David Koechner,2009-09-04,Contemporary Fiction,Live Action,Original Screenplay,,Mike Judge,,0
Next Day Air,2009,Comedy,3000000,145472,1336940,560937,Donald Faison,2009-05-08,Contemporary Fiction,Live Action,Original Screenplay,,,,0
Sorority Row,2009,Horror,12500000,14770515,1595371,227373,Carrie Fisher,2009-09-11,Contemporary Fiction,Live Action,Remake,,,,0
Away We Go,2009,Comedy,21000000,656070,1260259,387352,Josh Hamilton,2009-06-05,Contemporary Fiction,Live Action,Original Screenplay,,Sam Mendes,,0
